Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price
,Persoană fizică,2,,,,5,Secundar,3,,Apartament cu living,Deschis,Apartament cu 4 camere,6.0,Fără reparație,16 m²,99 m²,217 m²,Cotileț,120 000€
,Persoană fizică,,,,Gonvaro-Con,6,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,8.0,Variantă albă,,,73 m²,,96 000€
Se acceptă animale,Agenție,1,Brj (Brejnevka),Se acceptă copii,,4,Secundar,2,270 cm,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,6 m²,,44 m²,Cotileț,84 900€
,Agenție,1,Individuală,,Sky House,17,Construcţii noi,1,,Apartament fără living,Subterană,Apartament cu 1 cameră,18.0,Variantă albă,12 m²,18 m²,41 m²,Cărămidă,38 000€
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,1,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,84 m²,Cărămidă,104 000€
,Agenție,Nu,Individuală,,,6,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,77 m²,,185 000€
,Agenție,,,,,1,Construcţii noi,,,,,Apartament cu 3 camere,2.0,,,,92 m²,,101 200€
,Agenție,,,,,4,Construcţii noi,2,0 cm,,,Apartament cu 3 camere,4.0,Design individual,0 m²,0 m²,85 m²,,127 000€
,Agenție,1,Individuală,,Sky House,13,Construcţii noi,1,0 cm,Apartament fără living,Subterană,Apartament cu 1 cameră,18.0,Variantă albă,12 m²,17 m²,41 m²,Cărămidă,37 250€
,Agenție,,,,,6,Construcţii noi,,,,,Apartament cu 1 cameră,10.0,Euroreparație,,,40 m²,,79 900€
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,Reparație cosmetică,,,86 m²,,149 865€
,Agenție,2,,,,17,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,17.0,,,,162 m²,,500 000€
,Agenție,1,,,,8,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,108 m²,,230 000€
,Agenție,,,,,5,Construcţii noi,,,,,Apartament cu 2 camere,10.0,,,,68 m²,,105 500€
,Persoană fizică,1,Individuală,,,4,Secundar,,350 cm,,Deschis,Apartament cu 4 camere,4.0,Euroreparație,,,88 m²,Cotileț,840 000€
,Agenție,,Individuală,,,5,Construcţii noi,,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Variantă albă,0 m²,0 m²,80 m²,,104 990€
,Agenție,,,,,4,Secundar,,,,,Apartament cu 2 camere,4.0,,,,45 m²,,67 900€
,Persoană fizică,1,Cămin familial,,,4,Secundar,2,,,,O cameră,9.0,,,20 m²,27 m²,,37 500€
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 1 cameră,5.0,Variantă albă,,,40 m²,,12 900€
,Agenție,,,,,10,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,10.0,Euroreparație,,,65 m²,,146 900€
,Persoană fizică,1,,,,7,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Variantă albă,12 m²,33 m²,56 m²,,90 000€
,Agenție,1,,,,5,Construcţii noi,1,340 cm,,,Apartament cu 1 cameră,8.0,Variantă albă,,,49 m²,,172 000€
,Persoană fizică,1,,,Exfactor-grup,7,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,85 m²,,179 900€
,Agenție,2,,,,1,Construcţii noi,1,0 cm,Apartament cu living,,Apartament cu 2 camere,6.0,,0 m²,0 m²,84 m²,,129 900€
,Persoană fizică,2,143,,,4,Secundar,1,2500 cm,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,9 m²,41 m²,52 m²,Cotileț,28 300€
,Agenție,,,,Estate Invest Company,2,Construcţii noi,,275 cm,Apartament cu living,,Apartament cu 1 cameră,11.0,Variantă albă,,,49 m²,,58 500€
,Agenție,,,,,7,Secundar,,0 cm,,Deschis,Apartament cu 1 cameră,23.0,Euroreparație,0 m²,0 m²,40 m²,,74 900€
,Dezvoltator imobiliar,,,,AMIC,1,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9.0,Euroreparație,,,82 m²,Cotileț,145 000€
,Agenție,Nu,Cămin familial,,,2,Secundar,,,,,O cameră,6.0,Reparație cosmetică,,20 m²,29 m²,Cotileț,38 500€
,Persoană fizică,1,Ms (serie  moldovenească),,,5,Secundar,2,2 cm,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,0 m²,66 m²,66 m²,,190 000€
,Dezvoltator imobiliar,2,,,Astercon,4,Construcţii noi,2,275 cm,,Garaj,Apartament cu 3 camere,6.0,Variantă albă,15 m²,,82 m²,Beton celular,111 308€
,Agenție,,,,,7,Construcţii noi,,,,,Apartament cu 3 camere,14.0,,,,91 m²,,245 000€
,Persoană fizică,1,,,,4,Secundar,,,,Deschis,Apartament cu 2 camere,5.0,,,,47 m²,,45 000€
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,5,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,5.0,Variantă albă,,,65 m²,,162 500€
,Agenție,,,,Inamstro,9,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10.0,,,,88 m²,,199 900€
,Agenție,,,,,9,Secundar,,,,,Apartament cu 2 camere,10.0,Reparație cosmetică,,,80 m²,,99 700€
,Agenție,3,Individuală,,,9,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,12.0,Variantă albă,,,110 m²,,170 000€
,Agenție,2,,,,4,Secundar,1,,Apartament cu living,,Apartament cu 2 camere,5.0,Euroreparație,,45 m²,49 m²,,96 000€
Fără animale,Agenție,2,Individuală,Se acceptă copii,,1,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,100 m²,,205 800€
,Persoană fizică,,,,,9,Secundar,,,,,Apartament cu 3 camere,10.0,Euroreparație,,,80 m²,,119 900€
,Agenție,,,,Inamstro,5,Construcţii noi,,0 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,13.0,Variantă albă,0 m²,0 m²,58 m²,,117 900€
,Persoană fizică,1,,,,4,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,44 m²,Cotileț,101 900€
,Dezvoltator imobiliar,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,16.0,,,,72 m²,,135 001€
,Agenție,,,,,1,Construcţii noi,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,55 m²,,104 900€
,Agenție,1,,,Basconslux,6,Construcţii noi,2,0 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Euroreparație,0 m²,0 m²,69 m²,,155 000€
,Agenție,,,,,1,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,10.0,Euroreparație,,,35 m²,,65 000€
Se acceptă animale,Persoană fizică,,Individuală,Se acceptă copii,,5,Construcţii noi,1,270 cm,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Design individual,,,53 m²,Combinat,105 000€
,Persoană fizică,,Hruşciovka,,,2,Secundar,1,,,Deschis,Apartament cu 4 camere,5.0,Euroreparație,,,65 m²,Cotileț,70 000€
,Agenție,Nu,,,,6,Construcţii noi,2,,Apartament cu living,Garaj,Apartament cu 3 camere,10.0,Variantă albă,,,93 m²,Combinat,89 200€
,Dezvoltator imobiliar,1,,,,6,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,14.0,Euroreparație,,,48 m²,,107 000€
,Persoană fizică,1,,,,2,Secundar,,,,,Apartament cu 1 cameră,9.0,,10 m²,37 m²,37 m²,,72 900€
,Agenție,1,Individuală,,,9,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,,200 m²,Combinat,265 000€
,Persoană fizică,1,,,,5,Secundar,,,,,Apartament cu 2 camere,5.0,Are nevoie de reparație,,,46 m²,,25 000€
,Agenție,2,,,,8,Construcţii noi,2,,,,Apartament cu 4 camere,9.0,,,,173 m²,,650 000€
,Agenție,,Individuală,,,5,Secundar,2,,,Deschis,Apartament cu 2 camere,9.0,Design individual,,,61 m²,,135 900€
,Dezvoltator imobiliar,1,,,A-casa,4,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,,95 m²,95 m²,,119 112€
,Agenție,,,,,9,Secundar,2,,,,Apartament cu 3 camere,9.0,,,,68 m²,,107 000€
,Agenție,2,Individuală,,,5,Secundar,3,,,Deschis,Apartament cu 4 camere,6.0,Euroreparație,,,212 m²,,119 999€
,Agenție,,,,,1,Secundar,,,,,Apartament cu 5 camere sau mai multe,2.0,,,,162 m²,,563 891MDL
,Agenție,1,,,,1,Construcţii noi,3,,,Deschis,Apartament cu 4 camere,9.0,Euroreparație,,,175 m²,,509 250€
,Agenție,,,,,10,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,,65 m²,,146 900€
,Persoană fizică,2,Individuală,,,1,Construcţii noi,2,,,,Apartament cu 2 camere,10.0,Euroreparație,,,64 m²,,141 000€
,Persoană fizică,,,,Lagmar Impex,5,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,14.0,,0 m²,0 m²,68 m²,,85 690€
,Persoană fizică,2,,,,2,Construcţii noi,1,0 cm,,Deschis,Apartament cu 3 camere,4.0,Euroreparație,0 m²,0 m²,87 m²,Cotileț,145 900€
,Agenție,2,Individuală,,,7,Construcţii noi,3,,,Deschis,Apartament cu 3 camere,8.0,Euroreparație,,,222 m²,,700 000€
,Agenție,1,,,,16,Construcţii noi,3,,,Deschis,Apartament cu 3 camere,18.0,Variantă sură,,,140 m²,Combinat,280 000€
,Agenție,,,,,3,Construcţii noi,1,,Apartament fără living,,Apartament cu 3 camere,15.0,Variantă albă,,,125 m²,,156 250€
,Dezvoltator imobiliar,Nu,,,,1,Construcţii noi,1,220 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Euroreparație,,,50 m²,Beton celular,92 000€
,Agenție,1,,,,16,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,16.0,Euroreparație,,,60 m²,Beton celular,95 000€
,Dezvoltator imobiliar,1,,,,10,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10.0,,,,64 m²,,146 900€
,Persoană fizică,1,Ms (serie  moldovenească),,,3,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,57 m²,Cotileț,89 500€
,Dezvoltator imobiliar,,Individuală,,,4,Construcţii noi,1,,,,Apartament cu 1 cameră,8.0,Variantă albă,,,46 m²,Combinat,46 000€
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 3 camere,13.0,,0 m²,0 m²,92 m²,,255 000€
,Dezvoltator imobiliar,2,Individuală,,,7,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,7.0,Euroreparație,,,131 m²,Combinat,235 000€
,Agenție,Nu,,,,5,Secundar,1,,,,Apartament cu 2 camere,6.0,Euroreparație,,,41 m²,,79 900€
,Agenție,,,,Boiar House,5,Secundar,,0 cm,Apartament cu living,,Apartament cu 2 camere,9.0,,0 m²,0 m²,55 m²,,67 000€
,Agenție,1,Individuală,,,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,15.0,Euroreparație,,,95 m²,,249 900€
,Persoană fizică,,,,,4,Secundar,,0 cm,,,O cameră,5.0,,0 m²,0 m²,22 m²,,33 900€
,Agenție,,,,,1,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,7.0,,,,67 m²,,145 000€
,Agenție,1,143,,,4,Secundar,2,2800 cm,,Deschis,Apartament cu 2 camere,9.0,Fără reparație,8 m²,32 m²,57 m²,Panou,38 000€
,Agenție,2,Individuală,,,1,Construcţii noi,2,0 cm,,Deschis,Apartament cu 2 camere,12.0,Euroreparație,0 m²,0 m²,123 m²,,165 000€
,Agenție,,,,,12,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,16.0,Euroreparație,,,59 m²,,162 900€
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 2 camere,5.0,,,37 m²,40 m²,,42 000€
,Agenție,1,,,A-casa,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,5.0,Variantă albă,,72 m²,72 m²,,90 358€
,Agenție,1,,,,2,Construcţii noi,1,300 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,3.0,Variantă albă,,46 m²,61 m²,Cotileț,105 000€
,Dezvoltator imobiliar,1,,,,1,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,11.0,Variantă albă,,,86 m²,,125 000€
,Agenție,,,,,5,Construcţii noi,,,,,Apartament cu 2 camere,7.0,Euroreparație,,,74 m²,,310 000€
,Agenție,1,,,,2,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,16.0,Euroreparație,,,63 m²,,154 900€
,Agenție,,,,Exfactor-grup,8,Construcţii noi,,,,,Apartament cu 2 camere,10.0,Euroreparație,,,53 m²,,129 900€
,Agenție,1,,,,5,Secundar,1,0 cm,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,0 m²,0 m²,45 m²,,73 000€
,Persoană fizică,1,Individuală,,,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,15 m²,99 m²,99 m²,Beton,240 000€
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,,49 m²,,123 000€
Se acceptă animale,Agenție,1,Individuală,Se acceptă copii,,4,Secundar,2,270 cm,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Design individual,15 m²,,100 m²,Cotileț,154 900€
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,,,,Apartament cu 1 cameră,5.0,,,,53 m²,,67 400€
Fără animale,Agenție,1,Individuală,Se acceptă copii,,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,43 m²,,62 622€
,Agenție,2,Varț (Varnițkaia),,,6,Secundar,2,0 cm,,Deschis,Apartament cu 2 camere,9.0,Reparație cosmetică,0 m²,0 m²,56 m²,,93 000€
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,0 cm,,,Apartament cu 1 cameră,18.0,,0 m²,3000 m²,41 m²,,67 500€
,Agenție,3,Individuală,,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,74 m²,,157 682€
,Agenție,1,,,,10,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,10.0,,,,240 m²,,224 000€
,Agenție,,,,,4,Construcţii noi,,,Apartament fără living,,Apartament cu 2 camere,13.0,Euroreparație,,,51 m²,,145 000€
,Agenție,,,,Dansicons,2,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Euroreparație,0 m²,90 m²,90 m²,Cotileț,195 000€
,Agenție,1,Individuală,,,5,Construcţii noi,2,265 cm,,Deschis,Apartament cu 3 camere,7.0,Design individual,15 m²,80 m²,106 m²,Cotileț,175 000€
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,0 cm,,,Apartament cu 1 cameră,10.0,,0 m²,0 m²,50 m²,,69 000€
,Agenție,,Individuală,,,7,Secundar,,,Apartament cu living,,Apartament cu 2 camere,7.0,Euroreparație,,,46 m²,,69 000€
,Agenție,,,,,8,Construcţii noi,,,,,Apartament cu 2 camere,10.0,,,,89 m²,,144 900€
,Agenție,Nu,,,,1,Secundar,1,,,,O cameră,5.0,Euroreparație,,,18 m²,,34 800€
,Agenție,,,,Inamstro,5,Construcţii noi,,,,,Apartament cu 1 cameră,8.0,,,,49 m²,,172 000€
,Persoană fizică,1,143,,AMIC,4,Secundar,2,250 cm,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,12 m²,45 m²,72 m²,Cotileț,26 000€
,Dezvoltator imobiliar,1,,,Sky House,4,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,31 m²,,46 500€
,Agenție,1,Individuală,,,13,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,13.0,Euroreparație,,,68 m²,,194 500€
,Persoană fizică,1,,,,5,Secundar,1,,,,O cameră,5.0,,,,20 m²,,28 500€
,Persoană fizică,1,,,,1,Construcţii noi,,2500 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,3.0,,14 m²,40 m²,40 m²,,75 000€
,Persoană fizică,,,,,1,Secundar,,,,,Apartament cu 3 camere,1.0,,,,57 m²,,75 000€
,Agenție,,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,2.0,Euroreparație,,,67 m²,,115 000€
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12.0,,,,74 m²,,124 900€
,Dezvoltator imobiliar,2,135,,,6,Secundar,2,,,Deschis,Apartament cu 3 camere,9.0,,8 m²,44 m²,72 m²,Panou,110 000€
,Persoană fizică,1,,,Inamstro,4,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,5.0,Dat în exploatare,,64 m²,64 m²,Beton,75 000€
,Agenție,,,,,1,Secundar,,,Apartament cu living,,Apartament cu 2 camere,5.0,Euroreparație,,,45 m²,Cotileț,92 500€
,Dezvoltator imobiliar,,Individuală,,,1,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,7.0,,,,78 m²,Cărămidă,167 000€
,Persoană fizică,,,,,1,Secundar,1,,,,Apartament cu 3 camere,1.0,Fără reparație,,,73 m²,Cotileț,30 900€
,Dezvoltator imobiliar,,,,A-casa,1,Construcţii noi,,,,,Apartament cu 2 camere,5.0,Variantă albă,,60 m²,60 m²,,75 150€
,Dezvoltator imobiliar,1,,,,4,Secundar,,,,,Apartament cu 2 camere,5.0,,,,44 m²,,84 950€
,Persoană fizică,1,Individuală,,,2,Secundar,2,,,Deschis,Apartament cu 3 camere,3.0,Euroreparație,,,68 m²,Cotileț,180 000€
,Agenție,1,,,Braus Imobiliare,6,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,20.0,Euroreparație,,,48 m²,,119 900€
,Persoană fizică,3,Individuală,,AMIC,10,Construcţii noi,2,300 cm,Apartament cu living,Deschis,Apartament cu 4 camere,10.0,Variantă sură,12 m²,70 m²,127 m²,Cărămidă,148 000€
,Persoană fizică,,,,,5,Construcţii noi,,0 cm,,,Apartament cu 1 cameră,14.0,,0 m²,0 m²,43 m²,,115 000€
,Agenție,,,,,11,Construcţii noi,,,,,Apartament cu 1 cameră,17.0,,,,43 m²,,64 900€
,Agenție,1,Individuală,,,4,Secundar,1,,,Deschis,O cameră,5.0,Euroreparație,,,18 m²,Cotileț,32 900€
,Persoană fizică,,,,,6,Secundar,,,,,Apartament cu 3 camere,9.0,,,,85 m²,,102 000€
,Agenție,,,,,8,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 1 cameră,9.0,,0 m²,0 m²,40 m²,,99 000€
,Agenție,,Individuală,,,3,Construcţii noi,2,300 cm,,Subterană,Apartament cu 2 camere,5.0,Variantă albă,,,61 m²,Cotileț,99 900€
Cu acordul stăpânului,Persoană fizică,1,Individuală,Cu acordul stăpânului,Casa de Piatra,3,Secundar,1,3 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,5.0,Are nevoie de reparație,6 m²,17 m²,32 m²,Cotileț,9 500€
,Persoană fizică,1,,,,3,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,5.0,Variantă albă,,75 m²,75 m²,,95 085€
Se acceptă animale,Agenție,1,Hruşciovka,Se acceptă copii,,5,Secundar,1,270 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,6 m²,,33 m²,Cotileț,64 500€
Fără animale,Agenție,1,Individuală,Se acceptă copii,,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,102 m²,,188 900€
,Agenție,1,Individuală,,,6,Construcţii noi,3,,Apartament cu living,Deschis,Apartament cu 3 camere,6.0,Variantă albă,,,142 m²,,255 000€
,Agenție,,,,,2,Secundar,,,Apartament cu living,,Apartament cu 2 camere,5.0,Euroreparație,,,48 m²,Cotileț,86 700€
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,7,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,100 m²,,182 000€
,Persoană fizică,,,,,3,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,53 m²,53 m²,,145 000€
,Dezvoltator imobiliar,,,,Lagmar Impex,5,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,,,,41 m²,,50 850€
,Agenție,Nu,,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,2.0,Reparație cosmetică,,,46 m²,Cotileț,32 000€
,Agenție,,,,,8,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,14.0,Variantă albă,0 m²,0 m²,77 m²,,111 800€
,Dezvoltator imobiliar,,Individuală,,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,6.0,Variantă albă,20 m²,83 m²,83 m²,Combinat,55 000€
,Dezvoltator imobiliar,1,Individuală,,Dansicons,2,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,90 m²,90 m²,90 m²,Combinat,195 000€
,Agenție,,,,Lagmar Impex,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,,45 m²,,69 550€
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,1,275 cm,,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,100 m²,Cărămidă,124 000€
,Agenție,2,Individuală,,,6,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,0 m²,0 m²,148 m²,,650 000€
Fără animale,Agenție,1,Individuală,Se acceptă copii,,4,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,63 m²,,237 500€
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 3 camere,5.0,,10 m²,38 m²,61 m²,,12 000€
,Persoană fizică,,,Se acceptă copii,Dansicons,10,Construcţii noi,1,3 cm,Apartament cu living,Subterană,Apartament cu 3 camere,14.0,,,75 m²,86 m²,,194 000€
,Agenție,1,Individuală,,,2,Construcţii noi,2,3 cm,Apartament cu living,Garaj,Apartament cu 3 camere,5.0,Variantă albă,13 m²,67 m²,107 m²,Cărămidă,255 000€
,Persoană fizică,,,,,2,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,10.0,,,98 m²,98 m²,,182 000€
,Agenție,1,135,,,3,Secundar,,0 cm,,Deschis,Apartament cu 2 camere,9.0,Reparație cosmetică,0 m²,0 m²,50 m²,Beton,73 000€
,Dezvoltator imobiliar,1,,,Lagmar Impex,3,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,9.0,Variantă albă,,,90 m²,,104 000€
,Agenție,1,,,Solomon Construct Imobil,6,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,12.0,Variantă albă,,,73 m²,,106 100€
,Agenție,,,,,5,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,19 m²,,45 000€
,Persoană fizică,1,,,Basconslux,3,Construcţii noi,1,300 cm,,,Apartament cu 2 camere,12.0,Euroreparație,16 m²,,87 m²,,199 500€
,Persoană fizică,1,,,Lagmar Impex,5,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,50 m²,Cărămidă,74 500€
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 2 camere,9.0,,,,48 m²,,63 000€
,Agenție,,,,,3,Construcţii noi,,,,Deschis,Apartament cu 3 camere,10.0,Variantă albă,,,95 m²,,140 000€
,Dezvoltator imobiliar,1,Individuală,,Lagmar Impex,4,Construcţii noi,1,3 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Dat în exploatare,18 m²,43 m²,43 m²,Bloc,93 500€
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Euroreparație,,,65 m²,,174 900€
,Agenție,,,,,2,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 1 cameră,9.0,,0 m²,0 m²,49 m²,,123 000€
,Agenție,,Individuală,,,1,Secundar,2,,,,Apartament cu 3 camere,1.0,Reparație cosmetică,,,83 m²,,129 000€
,Agenție,1,,,,9,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,50 m²,,124 500€
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,Variantă albă,,,36 m²,,29 000€
,Agenție,,,,,3,Secundar,,,,,O cameră,5.0,Euroreparație,,,20 m²,,37 000€
,Persoană fizică,Nu,,,,2,Secundar,1,270 cm,,,Apartament cu 2 camere,2.0,Fără reparație,6 m²,40 m²,40 m²,Cotileț,20 000€
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,,,,Apartament cu 1 cameră,11.0,Variantă albă,,,40 m²,,95 000€
,Agenție,,,,,5,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,,75 m²,,141 900€
,Agenție,,,,,9,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,52 m²,,101 500€
,Agenție,2,,,,4,Construcţii noi,2,,,Deschis,Apartament cu 4 camere,9.0,Euroreparație,,,116 m²,,219 900€
,Agenție,3,,,,3,Construcţii noi,2,0 cm,Apartament cu living,Sub acoperiș,Apartament cu 2 camere,3.0,Euroreparație,0 m²,82 m²,100 m²,Cotileț,145 000€
,Agenție,1,Individuală,,,4,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,9.0,Euroreparație,,,45 m²,Combinat,94 900€
,Agenție,Nu,Individuală,,,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,12.0,Variantă albă,,,61 m²,,152 500€
,Dezvoltator imobiliar,,,,Sky House,3,Construcţii noi,,,,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,73 m²,,109 500€
,Persoană fizică,,Individuală,,Sky House,6,Construcţii noi,3,3 cm,Apartament cu living,,Apartament cu 1 cameră,10.0,Design individual,15 m²,30 m²,39 m²,Cărămidă,78 800€
,Persoană fizică,1,,,,3,Secundar,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,52 m²,Monolit,71 000€
,Agenție,,,,,5,Construcţii noi,,,,,Apartament cu 1 cameră,10.0,,,,50 m²,,79 900€
,Agenție,Nu,,,Eldorado Terra,7,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,13.0,Euroreparație,,,66 m²,,125 500€
,Agenție,1,,,,13,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 3 camere,13.0,,,86 m²,86 m²,,220 000€
,Agenție,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9.0,Variantă albă,,,66 m²,,120 000€
,Persoană fizică,,,,,1,Construcţii noi,,,,,Apartament cu 1 cameră,2.0,,,,27 m²,,7 500€
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,10.0,,,,54 m²,,119 000€
